"","team","dry_fep","dry_rate","wet_fep","wet_rate"
"1","ARI",5197,2.77082932461035,151,5.96026490066225
"2","ATL",5714,1.45257262863143,79,3.79746835443038
"3","BAL",5119,1.85583121703458,734,2.45231607629428
"4","BUF",5015,2.57228315054835,434,2.07373271889401
"5","CAR",5386,1.9680653546231,118,5.08474576271186
"6","CHI",4949,2.20246514447363,504,3.17460317460317
"7","CIN",5317,2.14406620274591,394,1.52284263959391
"8","CLE",4659,2.23223867782786,596,2.18120805369128
"9","DAL",5436,2.17071376011773,172,1.16279069767442
"10","DEN",5460,2.14285714285714,359,2.22841225626741
"11","DET",5394,2.5027808676307,151,4.63576158940397
"12","GB",5412,1.73688100517369,412,2.42718446601942
"13","HOU",5777,2.11182274536957,101,0.99009900990099
"14","IND",5359,1.62343720843441,225,1.33333333333333
"15","JAC",5297,2.13328299037191,308,2.5974025974026
"16","KC",5501,2.03599345573532,100,0
"17","MIA",5340,2.26591760299625,256,3.125
"18","MIN",5543,2.18293342955078,140,5.71428571428571
"19","NE",5421,1.29127467256964,774,1.80878552971576
"20","NO",5910,1.6243654822335,119,1.68067226890756
"21","NYG",5052,2.17735550277118,529,2.83553875236295
"22","NYJ",5383,2.19208619728776,359,3.06406685236769
"23","OAK",5239,2.5959152510021,203,3.44827586206897
"24","PHI",5465,2.37877401646844,259,1.54440154440154
"25","PIT",5120,2.3828125,652,1.53374233128834
"26","SD",5556,1.7638588912887,176,3.40909090909091
"27","SEA",5048,2.21870047543582,521,1.53550863723608
"28","SF",5088,2.47641509433962,259,3.08880308880309
"29","STL",5354,1.9985057900635,86,4.65116279069767
"30","TB",5297,2.17104021144044,101,1.98019801980198
"31","TEN",5373,2.21477759166201,86,6.97674418604651
"32","WAS",5213,2.6855937080376,491,3.05498981670061
