"","gid","pid","off","type","player","name","season","fumble","NE"
"1",1860,302370,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"2",1860,302382,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"3",1860,302390,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"4",1860,302391,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"5",1860,302393,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"6",1860,302464,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"7",1860,302465,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"8",1860,302466,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"9",1860,302467,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"10",1860,302473,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"11",1860,302475,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"12",1863,302834,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"13",1863,302875,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"14",1863,302904,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"15",1863,302905,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"16",1863,302909,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"17",1863,302935,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"18",1870,303939,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"19",1870,303940,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"20",1870,303944,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"21",1870,303958,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"22",1870,303963,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"23",1870,303985,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"24",1870,303986,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"25",1870,303987,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"26",1870,303988,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"27",1870,304018,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"28",1870,304021,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"29",1870,304054,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"30",1870,304059,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"31",1870,304061,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"32",1870,304075,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"33",1870,304076,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"34",1884,306278,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"35",1884,306279,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"36",1884,306284,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"37",1884,306286,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"38",1884,306335,"NE","RUSH","WW-0200","Wes Welker",2007,0,1
"39",1884,306336,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"40",1884,306337,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"41",1884,306338,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"42",1884,306340,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"43",1884,306375,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"44",1884,306385,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"45",1887,306722,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"46",1887,306750,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"47",1887,306751,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"48",1887,306771,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"49",1887,306773,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"50",1887,306774,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"51",1887,306775,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"52",1887,306818,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"53",1887,306820,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"54",1887,306854,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"55",1887,306855,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"56",1887,306856,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"57",1897,308304,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"58",1897,308305,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"59",1897,308307,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"60",1897,308317,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"61",1897,308322,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"62",1897,308324,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"63",1897,308329,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"64",1897,308352,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"65",1897,308353,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"66",1897,308358,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"67",1897,308359,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"68",1897,308377,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"69",1897,308385,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"70",1897,308387,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"71",1897,308400,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"72",1897,308418,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"73",1897,308420,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"74",1915,311168,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"75",1915,311171,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"76",1915,311182,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"77",1915,311193,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"78",1915,311214,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"79",1915,311217,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"80",1915,311218,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"81",1915,311219,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"82",1915,311220,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"83",1915,311221,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"84",1915,311222,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"85",1915,311223,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"86",1915,311224,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"87",1915,311247,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"88",1915,311249,"NE","RUSH","WW-0200","Wes Welker",2007,0,1
"89",1915,311251,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"90",1915,311252,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"91",1915,311254,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"92",1915,311278,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"93",1915,311300,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"94",1915,311301,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"95",1915,311302,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"96",1919,311826,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"97",1919,311830,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"98",1919,311831,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"99",1919,311833,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"100",1919,311839,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"101",1919,311852,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"102",1919,311866,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"103",1919,311867,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"104",1919,311868,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"105",1919,311881,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"106",1919,311884,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"107",1919,311885,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"108",1919,311911,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"109",1919,311913,"NE","RUSH","BW-0700","Ben Watson",2007,0,1
"110",1919,311915,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"111",1919,311928,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"112",1919,311941,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"113",1919,311954,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"114",1919,311958,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"115",1919,311960,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"116",1919,311983,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"117",1919,311984,"NE","RUSH","SM-3400","Sammy Morris",2007,0,1
"118",1921,312162,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"119",1921,312163,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"120",1921,312166,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"121",1921,312171,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"122",1921,312175,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"123",1921,312177,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"124",1921,312190,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"125",1921,312191,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"126",1921,312205,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"127",1921,312222,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"128",1921,312224,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"129",1921,312238,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"130",1921,312246,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"131",1921,312248,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
"132",1921,312273,"JAC","RUSH","FT-0100","Fred Taylor",2007,0,0
